codigo_municipio,nombre_municipio,codigo_departamento,LATITUD,LONGITUD
25506,Venecia,25,4.063342074,-74.45259796
25491,Nocaima,25,5.066110761,-74.38975476
25489,Nimaima,25,5.121445325,-74.39737048
25488,Nilo,25,4.294780933,-74.614695
25486,Nemocón,25,5.093705358,-73.88380238
25483,Nariño,25,4.407952015,-74.80565317
25473,Mosquera,25,4.672714223,-74.23573194
25438,Medina,25,4.484437919,-73.40598487
25436,Manta,25,4.976881151,-73.56313741
25430,Madrid,25,4.75156751,-74.2896305
25426,Macheta,25,5.040349198,-73.61738241
25407,Lenguazaque,25,5.303637171,-73.68153228
25402,La Vega,25,4.978619842,-74.33936061
25398,La Peña,25,5.20459882,-74.40786611
25394,La Palma,25,5.333400646,-74.40807863
25386,La Mesa,25,4.650773167,-74.47321717
25377,La Calera,25,4.700785443,-73.92939921
25372,Junín,25,4.705170789,-73.69247873
25368,Jerusalén,25,4.571350254,-74.68915854
25339,Gutiérrez,25,4.166089563,-74.0246527
25335,Guayabetal,25,4.231875945,-73.83543981
25328,Guayabal de Siquima,25,4.866310254,-74.4767709
25326,Guatavita,25,4.91158717,-73.78648564
25324,Guataquí,25,4.516381655,-74.78257788
25322,Guasca,25,4.801276832,-73.84643485
25320,Guaduas,25,5.173554764,-74.64014651
25317,Guachetá,25,5.387291542,-73.69328234
25312,Granada,25,4.523484884,-74.33724619
25307,Girardot,25,4.338154518,-74.81143922
25299,Gama,25,4.723573464,-73.60054441
25297,Gachetá,25,4.867551134,-73.61773287
25295,Gachancipá,25,5.01001953,-73.87671759
25293,Gachala,25,4.65495513,-73.51055381
25290,Fusagasugá,25,4.323534028,-74.38859114
25288,Fúquene,25,5.416288902,-73.77059829
25286,Funza,25,4.743996711,-74.19865992
25281,Fosca,25,4.316280072,-73.95286784
25279,Fomeque,25,4.528568462,-73.79705267
25269,Facatativá,25,4.834052334,-74.3380229
25260,El Rosal,25,4.879723016,-74.23802273
25258,El Peñón,25,5.261728244,-74.30830564
25245,El Colegio,25,4.556947085,-74.42658478
25224,Cucunubá,25,5.230308105,-73.78001885
25214,Cota,25,4.76754674,-74.1415583
25200,Cogua,25,5.103127532,-73.97536559
25183,Chocontá,25,5.118419271,-73.68068583
25181,Choachí,25,4.578183896,-73.95290054
25178,Chipaque,25,4.463746629,-74.04605246
25175,Chía,25,4.857823671,-74.03809539
25168,Chaguaní,25,4.95425175,-74.63090139
25154,Carmen de Carupa,25,5.338856556,-73.92614817
25151,Caqueza,25,4.402259457,-73.94482435
25148,Caparrapí,25,5.381501399,-74.52123595
25126,Cajicá,25,4.930402779,-74.02985115
25123,Cachipay,25,4.723063341,-74.45919528
25120,Cabrera,25,3.91861924,-74.44615606
25099,Bojacá,25,4.705576252,-74.3354077
25095,Bituima,25,4.847821091,-74.52862766
25086,Beltrán,25,4.791721105,-74.71491399
25053,Arbeláez,25,4.232786985,-74.39576291
25040,Anolaima,25,4.789313614,-74.46194256
25035,Anapoima,25,4.559962881,-74.5256953
25019,Albán,25,4.891121638,-74.44278432
25001,Agua de Dios,25,4.372744676,-74.67111051
23855,Valencia,23,8.219904128,-76.2213286
23815,Tuchín,23,9.224630803,-75.54410593
23807,Tierralta,23,7.813896829,-76.16846678
23686,San Pelayo,23,8.987777392,-75.90958771
23682,San José de Uré,23,7.753054395,-75.5672474
23678,San Carlos,23,8.706464263,-75.69251825
23675,San Bernardo del Viento,23,9.330098329,-75.97623858
23672,San Antero,23,9.359667489,-75.78700252
23670,San Andrés Sotavento,23,9.121296353,-75.52091711
23660,Sahagún,23,8.799007016,-75.42925664
23586,Purísima,23,9.282386127,-75.72129392
23580,Puerto Libertador,23,7.711515736,-75.77123224
23574,Puerto Escondido,23,8.988667731,-76.19405912
23570,Pueblo Nuevo,23,8.481339568,-75.40516154
