codigo_departamento,departamento,codigo_municipio,municipio,anio,poblacion_total
15,Boyacá,15790,Tasco,2028,6431.0
15,Boyacá,15790,Tasco,2029,6511.0
15,Boyacá,15790,Tasco,2030,6535.0
15,Boyacá,15790,Tasco,2031,6595.0
15,Boyacá,15790,Tasco,2032,6640.0
15,Boyacá,15790,Tasco,2033,6684.0
15,Boyacá,15790,Tasco,2034,6726.0
15,Boyacá,15790,Tasco,2035,6757.0
15,Boyacá,15798,Tenza,2020,3930.0
15,Boyacá,15798,Tenza,2021,3948.0
15,Boyacá,15798,Tenza,2022,4013.0
15,Boyacá,15798,Tenza,2023,4064.0
15,Boyacá,15798,Tenza,2024,4087.0
15,Boyacá,15798,Tenza,2025,4143.0
15,Boyacá,15798,Tenza,2026,4163.0
15,Boyacá,15798,Tenza,2027,4211.0
15,Boyacá,15798,Tenza,2028,4250.0
15,Boyacá,15798,Tenza,2029,4275.0
15,Boyacá,15798,Tenza,2030,4305.0
15,Boyacá,15798,Tenza,2031,4317.0
15,Boyacá,15798,Tenza,2032,4359.0
15,Boyacá,15798,Tenza,2033,4388.0
15,Boyacá,15798,Tenza,2034,4409.0
15,Boyacá,15798,Tenza,2035,4442.0
15,Boyacá,15804,Tibaná,2020,9309.0
15,Boyacá,15804,Tibaná,2021,9392.0
15,Boyacá,15804,Tibaná,2022,9479.0
15,Boyacá,15804,Tibaná,2023,9575.0
15,Boyacá,15804,Tibaná,2024,9694.0
15,Boyacá,15804,Tibaná,2025,9781.0
15,Boyacá,15804,Tibaná,2026,9865.0
15,Boyacá,15804,Tibaná,2027,9930.0
15,Boyacá,15804,Tibaná,2028,10019.0
15,Boyacá,15804,Tibaná,2029,10091.0
15,Boyacá,15804,Tibaná,2030,10186.0
15,Boyacá,15804,Tibaná,2031,10257.0
15,Boyacá,15804,Tibaná,2032,10319.0
15,Boyacá,15804,Tibaná,2033,10384.0
15,Boyacá,15804,Tibaná,2034,10459.0
15,Boyacá,15804,Tibaná,2035,10506.0
15,Boyacá,15806,Tibasosa,2020,13436.0
15,Boyacá,15806,Tibasosa,2021,13637.0
15,Boyacá,15806,Tibasosa,2022,13774.0
15,Boyacá,15806,Tibasosa,2023,13925.0
15,Boyacá,15806,Tibasosa,2024,14063.0
15,Boyacá,15806,Tibasosa,2025,14184.0
15,Boyacá,15806,Tibasosa,2026,14327.0
15,Boyacá,15806,Tibasosa,2027,14438.0
15,Boyacá,15806,Tibasosa,2028,14547.0
